"Date","Price","Open","High","Low","Change %"
"Dec 29, 1989","7.873","7.873","7.873","7.873","0.19%"
"Dec 28, 1989","7.858","7.858","7.858","7.858","-0.57%"
"Dec 27, 1989","7.903","7.903","7.903","7.903","2.13%"
"Dec 22, 1989","7.738","7.738","7.738","7.738","0.77%"
"Dec 21, 1989","7.679","7.679","7.679","7.679","0.20%"
"Dec 20, 1989","7.664","7.664","7.664","7.664","-0.25%"
"Dec 19, 1989","7.683","7.683","7.683","7.683","0.44%"
"Dec 18, 1989","7.649","7.649","7.649","7.649","-0.69%"
"Dec 15, 1989","7.702","7.702","7.702","7.702","0.29%"
"Dec 14, 1989","7.680","7.680","7.680","7.680","-0.67%"
"Dec 13, 1989","7.732","7.732","7.732","7.732","-0.09%"
"Dec 12, 1989","7.739","7.739","7.739","7.739","0.00%"
"Dec 11, 1989","7.739","7.739","7.739","7.739","0.19%"
"Dec 08, 1989","7.724","7.724","7.724","7.724","-0.96%"
"Dec 07, 1989","7.799","7.799","7.799","7.799","1.30%"
"Dec 05, 1989","7.699","7.699","7.699","7.699","-0.05%"
"Dec 04, 1989","7.703","7.703","7.703","7.703","0.09%"
"Dec 01, 1989","7.696","7.696","7.696","7.696","-0.48%"
"Nov 30, 1989","7.733","7.733","7.733","7.733","-0.09%"
"Nov 29, 1989","7.740","7.740","7.740","7.740","-0.71%"
"Nov 28, 1989","7.795","7.795","7.795","7.795","0.21%"
"Nov 27, 1989","7.779","7.779","7.779","7.779","1.08%"
"Nov 24, 1989","7.696","7.696","7.696","7.696","-0.12%"
"Nov 22, 1989","7.705","7.705","7.705","7.705","-0.87%"
"Nov 21, 1989","7.773","7.773","7.773","7.773","-0.21%"
"Nov 20, 1989","7.789","7.789","7.789","7.789","0.00%"
"Nov 17, 1989","7.789","7.789","7.789","7.789","0.87%"
"Nov 16, 1989","7.722","7.722","7.722","7.722","-0.09%"
"Nov 15, 1989","7.729","7.729","7.729","7.729","-1.26%"
"Nov 14, 1989","7.828","7.828","7.828","7.828","0.00%"
"Nov 13, 1989","7.828","7.828","7.828","7.828","-0.10%"
"Nov 10, 1989","7.836","7.836","7.836","7.836","0.00%"
"Nov 09, 1989","7.836","7.836","7.836","7.836","0.58%"
"Nov 08, 1989","7.791","7.791","7.791","7.791","-0.59%"
"Nov 07, 1989","7.837","7.837","7.837","7.837","-1.72%"
"Nov 06, 1989","7.974","7.974","7.974","7.974","0.87%"
"Nov 03, 1989","7.905","7.905","7.905","7.905","1.35%"
"Nov 02, 1989","7.800","7.800","7.800","7.800","-0.48%"
"Nov 01, 1989","7.838","7.838","7.838","7.838","-0.10%"
"Oct 31, 1989","7.846","7.846","7.846","7.846","0.00%"
"Oct 30, 1989","7.846","7.846","7.846","7.846","-0.29%"
"Oct 27, 1989","7.869","7.869","7.869","7.869","0.86%"
"Oct 26, 1989","7.802","7.802","7.802","7.802","0.39%"
"Oct 25, 1989","7.772","7.772","7.772","7.772","0.09%"
"Oct 24, 1989","7.765","7.765","7.765","7.765","-1.99%"
"Oct 20, 1989","7.923","7.923","7.923","7.923","0.47%"
"Oct 19, 1989","7.886","7.886","7.886","7.886","-0.29%"
"Oct 18, 1989","7.909","7.909","7.909","7.909","0.00%"
"Oct 17, 1989","7.909","7.909","7.909","7.909","0.00%"
"Oct 16, 1989","7.909","7.909","7.909","7.909","2.12%"
"Oct 13, 1989","7.745","7.745","7.745","7.745","-2.64%"
"Oct 12, 1989","7.955","7.955","7.955","7.955","-0.85%"
"Oct 11, 1989","8.023","8.023","8.023","8.023","0.38%"
"Oct 10, 1989","7.993","7.993","7.993","7.993","-0.10%"
"Oct 06, 1989","8.001","8.001","8.001","8.001","-2.31%"
"Oct 05, 1989","8.190","8.190","8.190","8.190","-0.64%"
"Oct 04, 1989","8.243","8.243","8.243","8.243","-0.28%"
"Oct 03, 1989","8.266","8.266","8.266","8.266","-0.83%"
"Oct 02, 1989","8.335","8.335","8.335","8.335","-0.18%"
"Sep 29, 1989","8.350","8.350","8.350","8.350","0.36%"
"Sep 28, 1989","8.320","8.320","8.320","8.320","0.28%"
"Sep 27, 1989","8.297","8.297","8.297","8.297","0.18%"
"Sep 26, 1989","8.282","8.282","8.282","8.282","-0.46%"
"Sep 25, 1989","8.320","8.320","8.320","8.320","1.57%"
"Sep 22, 1989","8.191","8.191","8.191","8.191","-0.01%"
"Sep 21, 1989","8.192","8.192","8.192","8.192","0.84%"
"Sep 20, 1989","8.124","8.124","8.124","8.124","1.12%"
"Sep 19, 1989","8.034","8.034","8.034","8.034","0.00%"
"Sep 18, 1989","8.034","8.034","8.034","8.034","0.27%"
"Sep 15, 1989","8.012","8.012","8.012","8.012","-0.39%"
"Sep 14, 1989","8.043","8.043","8.043","8.043","-0.64%"
"Sep 13, 1989","8.095","8.095","8.095","8.095","0.27%"
"Sep 12, 1989","8.073","8.073","8.073","8.073","-0.37%"
"Sep 11, 1989","8.103","8.103","8.103","8.103","-0.55%"
"Sep 08, 1989","8.148","8.148","8.148","8.148","-0.55%"
"Sep 07, 1989","8.193","8.193","8.193","8.193","-0.10%"
"Sep 06, 1989","8.201","8.201","8.201","8.201","0.00%"
"Sep 05, 1989","8.201","8.201","8.201","8.201","0.55%"
"Sep 01, 1989","8.156","8.156","8.156","8.156","-1.37%"
"Aug 31, 1989","8.269","8.269","8.269","8.269","0.00%"
"Aug 30, 1989","8.269","8.269","8.269","8.269","-0.36%"
"Aug 29, 1989","8.299","8.299","8.299","8.299","1.10%"
"Aug 24, 1989","8.209","8.209","8.209","8.209","-0.73%"
"Aug 23, 1989","8.269","8.269","8.269","8.269","-0.78%"
"Aug 22, 1989","8.334","8.334","8.334","8.334","1.02%"
"Aug 21, 1989","8.250","8.250","8.250","8.250","0.84%"
"Aug 18, 1989","8.181","8.181","8.181","8.181","0.09%"
"Aug 17, 1989","8.174","8.174","8.174","8.174","0.94%"
"Aug 16, 1989","8.098","8.098","8.098","8.098","-1.40%"
"Aug 15, 1989","8.213","8.213","8.213","8.213","-0.56%"
"Aug 14, 1989","8.259","8.259","8.259","8.259","1.98%"
"Aug 11, 1989","8.099","8.099","8.099","8.099","2.00%"
"Aug 10, 1989","7.940","7.940","7.940","7.940","-0.01%"
"Aug 09, 1989","7.941","7.941","7.941","7.941","0.09%"
"Aug 08, 1989","7.934","7.934","7.934","7.934","-0.05%"
"Aug 07, 1989","7.938","7.938","7.938","7.938","3.85%"
"Aug 03, 1989","7.644","7.644","7.644","7.644","1.16%"
"Aug 02, 1989","7.556","7.556","7.556","7.556","0.68%"
"Aug 01, 1989","7.505","7.505","7.505","7.505","-0.50%"
"Jul 31, 1989","7.543","7.543","7.543","7.543","-0.72%"
"Jul 28, 1989","7.598","7.598","7.598","7.598","-0.99%"
"Jul 27, 1989","7.674","7.674","7.674","7.674","-1.48%"
"Jul 26, 1989","7.789","7.789","7.789","7.789","0.00%"
"Jul 25, 1989","7.789","7.789","7.789","7.789","-0.95%"
"Jul 24, 1989","7.864","7.864","7.864","7.864","-0.19%"
"Jul 21, 1989","7.879","7.879","7.879","7.879","1.13%"
"Jul 20, 1989","7.791","7.791","7.791","7.791","-1.23%"
"Jul 19, 1989","7.888","7.888","7.888","7.888","-0.94%"
"Jul 18, 1989","7.963","7.963","7.963","7.963","1.52%"
"Jul 17, 1989","7.844","7.844","7.844","7.844","0.37%"
"Jul 14, 1989","7.815","7.815","7.815","7.815","0.27%"
"Jul 13, 1989","7.794","7.794","7.794","7.794","0.18%"
"Jul 12, 1989","7.780","7.780","7.780","7.780","-0.47%"
"Jul 11, 1989","7.817","7.817","7.817","7.817","-0.19%"
"Jul 10, 1989","7.832","7.832","7.832","7.832","-0.38%"
"Jul 07, 1989","7.862","7.862","7.862","7.862","-0.58%"
"Jul 06, 1989","7.908","7.908","7.908","7.908","-0.84%"
"Jul 05, 1989","7.975","7.975","7.975","7.975","-0.15%"
"Jul 03, 1989","7.987","7.987","7.987","7.987","-0.42%"
"Jun 30, 1989","8.021","8.021","8.021","8.021","-0.56%"
"Jun 29, 1989","8.066","8.066","8.066","8.066","-1.29%"
"Jun 28, 1989","8.171","8.171","8.171","8.171","0.45%"
"Jun 27, 1989","8.134","8.134","8.134","8.134","-0.91%"
"Jun 26, 1989","8.209","8.209","8.209","8.209","-0.64%"
"Jun 23, 1989","8.262","8.262","8.262","8.262","-1.89%"
"Jun 22, 1989","8.421","8.421","8.421","8.421","0.27%"
"Jun 21, 1989","8.398","8.398","8.398","8.398","0.62%"
"Jun 20, 1989","8.346","8.346","8.346","8.346","-0.63%"
"Jun 19, 1989","8.399","8.399","8.399","8.399","0.18%"
"Jun 16, 1989","8.384","8.384","8.384","8.384","0.44%"
"Jun 15, 1989","8.347","8.347","8.347","8.347","1.41%"
"Jun 14, 1989","8.231","8.231","8.231","8.231","-0.77%"
"Jun 13, 1989","8.295","8.295","8.295","8.295","1.46%"
"Jun 12, 1989","8.176","8.176","8.176","8.176","0.27%"
"Jun 09, 1989","8.154","8.154","8.154","8.154","-1.18%"
"Jun 08, 1989","8.251","8.251","8.251","8.251","-0.46%"
"Jun 07, 1989","8.289","8.289","8.289","8.289","-0.54%"
"Jun 06, 1989","8.334","8.334","8.334","8.334","0.00%"
"Jun 05, 1989","8.334","8.334","8.334","8.334","-0.89%"
"Jun 02, 1989","8.409","8.409","8.409","8.409","-2.80%"
"Jun 01, 1989","8.651","8.651","8.651","8.651","-0.45%"
"May 31, 1989","8.690","8.690","8.690","8.690","-0.45%"
"May 30, 1989","8.729","8.729","8.729","8.729","-0.44%"
"May 26, 1989","8.768","8.768","8.768","8.768","-0.19%"
"May 25, 1989","8.785","8.785","8.785","8.785","0.80%"
"May 24, 1989","8.715","8.715","8.715","8.715","0.17%"
"May 23, 1989","8.700","8.700","8.700","8.700","0.08%"
"May 22, 1989","8.693","8.693","8.693","8.693","-1.23%"
"May 19, 1989","8.801","8.801","8.801","8.801","-0.80%"
"May 18, 1989","8.872","8.872","8.872","8.872","0.26%"
"May 17, 1989","8.849","8.849","8.849","8.849","-0.09%"
"May 16, 1989","8.857","8.857","8.857","8.857","0.17%"
"May 15, 1989","8.842","8.842","8.842","8.842","0.69%"
"May 12, 1989","8.781","8.781","8.781","8.781","-3.34%"
"May 11, 1989","9.084","9.084","9.084","9.084","-1.27%"
"May 10, 1989","9.201","9.201","9.201","9.201","0.59%"
"May 09, 1989","9.147","9.147","9.147","9.147","1.74%"
"May 08, 1989","8.991","8.991","8.991","8.991","0.69%"
"May 05, 1989","8.929","8.929","8.929","8.929","-1.55%"
"May 04, 1989","9.070","9.070","9.070","9.070","0.00%"
"May 03, 1989","9.070","9.070","9.070","9.070","-0.43%"
"May 02, 1989","9.109","9.109","9.109","9.109","-0.69%"
"May 01, 1989","9.172","9.172","9.172","9.172","1.46%"
"Apr 28, 1989","9.040","9.040","9.040","9.040","-0.43%"
"Apr 27, 1989","9.079","9.079","9.079","9.079","-0.94%"
"Apr 26, 1989","9.165","9.165","9.165","9.165","-0.26%"
"Apr 25, 1989","9.189","9.189","9.189","9.189","-0.58%"
"Apr 24, 1989","9.243","9.243","9.243","9.243","-0.01%"
"Apr 21, 1989","9.244","9.244","9.244","9.244","-0.59%"
"Apr 20, 1989","9.299","9.299","9.299","9.299","1.53%"
"Apr 19, 1989","9.159","9.159","9.159","9.159","0.34%"
"Apr 18, 1989","9.128","9.128","9.128","9.128","-2.01%"
"Apr 17, 1989","9.315","9.315","9.315","9.315","0.33%"
"Apr 14, 1989","9.284","9.284","9.284","9.284","-2.07%"
"Apr 13, 1989","9.480","9.480","9.480","9.480","0.58%"
"Apr 12, 1989","9.425","9.425","9.425","9.425","0.08%"
"Apr 11, 1989","9.417","9.417","9.417","9.417","-0.08%"
"Apr 10, 1989","9.425","9.425","9.425","9.425","0.07%"
"Apr 07, 1989","9.418","9.418","9.418","9.418","0.92%"
"Apr 06, 1989","9.332","9.332","9.332","9.332","0.50%"
"Apr 05, 1989","9.286","9.286","9.286","9.286","-0.16%"
"Apr 04, 1989","9.301","9.301","9.301","9.301","-0.83%"
"Apr 03, 1989","9.379","9.379","9.379","9.379","-1.48%"
"Mar 31, 1989","9.520","9.520","9.520","9.520","-0.58%"
"Mar 30, 1989","9.576","9.576","9.576","9.576","-0.16%"
"Mar 29, 1989","9.591","9.591","9.591","9.591","-0.50%"
"Mar 27, 1989","9.639","9.639","9.639","9.639","0.00%"
"Mar 23, 1989","9.639","9.639","9.639","9.639","0.00%"
"Mar 22, 1989","9.639","9.639","9.639","9.639","-1.05%"
"Mar 21, 1989","9.741","9.741","9.741","9.741","0.48%"
"Mar 20, 1989","9.694","9.694","9.694","9.694","0.57%"
"Mar 17, 1989","9.639","9.639","9.639","9.639","2.23%"
"Mar 16, 1989","9.429","9.429","9.429","9.429","-0.17%"
"Mar 15, 1989","9.445","9.445","9.445","9.445","0.00%"
"Mar 14, 1989","9.445","9.445","9.445","9.445","-0.24%"
"Mar 13, 1989","9.468","9.468","9.468","9.468","0.00%"
"Mar 10, 1989","9.468","9.468","9.468","9.468","1.32%"
"Mar 09, 1989","9.345","9.345","9.345","9.345","0.07%"
"Mar 08, 1989","9.338","9.338","9.338","9.338","-0.09%"
"Mar 07, 1989","9.346","9.346","9.346","9.346","0.00%"
"Mar 06, 1989","9.346","9.346","9.346","9.346","-0.33%"
"Mar 03, 1989","9.377","9.377","9.377","9.377","-0.09%"
"Mar 02, 1989","9.385","9.385","9.385","9.385","-0.49%"
"Mar 01, 1989","9.431","9.431","9.431","9.431","0.07%"
"Feb 28, 1989","9.424","9.424","9.424","9.424","-0.49%"
"Feb 27, 1989","9.470","9.470","9.470","9.470","-0.24%"
"Feb 24, 1989","9.493","9.493","9.493","9.493","0.16%"
"Feb 23, 1989","9.478","9.478","9.478","9.478","0.85%"
"Feb 22, 1989","9.398","9.398","9.398","9.398","1.04%"
"Feb 21, 1989","9.301","9.301","9.301","9.301","0.00%"
"Feb 17, 1989","9.301","9.301","9.301","9.301","0.01%"
"Feb 16, 1989","9.300","9.300","9.300","9.300","-0.26%"
"Feb 15, 1989","9.324","9.324","9.324","9.324","0.00%"
"Feb 14, 1989","9.324","9.324","9.324","9.324","0.60%"
"Feb 13, 1989","9.268","9.268","9.268","9.268","0.09%"
"Feb 10, 1989","9.260","9.260","9.260","9.260","0.97%"
"Feb 09, 1989","9.171","9.171","9.171","9.171","1.48%"
"Feb 08, 1989","9.037","9.037","9.037","9.037","0.00%"
"Feb 07, 1989","9.037","9.037","9.037","9.037","-0.60%"
"Feb 06, 1989","9.092","9.092","9.092","9.092","0.00%"
"Feb 03, 1989","9.092","9.092","9.092","9.092","0.62%"
"Feb 02, 1989","9.036","9.036","9.036","9.036","0.00%"
"Feb 01, 1989","9.036","9.036","9.036","9.036","-0.35%"
"Jan 31, 1989","9.068","9.068","9.068","9.068","0.18%"
"Jan 30, 1989","9.052","9.052","9.052","9.052","0.43%"
"Jan 27, 1989","9.013","9.013","9.013","9.013","-0.61%"
"Jan 26, 1989","9.068","9.068","9.068","9.068","0.35%"
"Jan 25, 1989","9.036","9.036","9.036","9.036","0.69%"
"Jan 24, 1989","8.974","8.974","8.974","8.974","-0.77%"
"Jan 23, 1989","9.044","9.044","9.044","9.044","-0.43%"
"Jan 20, 1989","9.083","9.083","9.083","9.083","0.34%"
"Jan 19, 1989","9.052","9.052","9.052","9.052","0.00%"
"Jan 18, 1989","9.052","9.052","9.052","9.052","-0.52%"
"Jan 17, 1989","9.099","9.099","9.099","9.099","0.09%"
"Jan 13, 1989","9.091","9.091","9.091","9.091","-1.11%"
"Jan 12, 1989","9.193","9.193","9.193","9.193","-1.02%"
"Jan 11, 1989","9.288","9.288","9.288","9.288","0.00%"
"Jan 10, 1989","9.288","9.288","9.288","9.288","0.01%"
"Jan 09, 1989","9.287","9.287","9.287","9.287","-0.09%"
"Jan 06, 1989","9.295","9.295","9.295","9.295","-0.09%"
"Jan 05, 1989","9.303","9.303","9.303","9.303","0.68%"
"Jan 04, 1989","9.240","9.240","9.240","9.240","0.09%"
"Jan 03, 1989","9.232","9.232","9.232","9.232","0.51%"
"Dec 30, 1988","9.185","9.185","9.185","9.185","0.09%"
"Dec 29, 1988","9.177","9.177","9.177","9.177","-0.34%"
"Dec 28, 1988","9.208","9.208","9.208","9.208","0.34%"
"Dec 27, 1988","9.177","9.177","9.177","9.177","1.03%"
"Dec 22, 1988","9.083","9.083","9.083","9.083","0.00%"
"Dec 21, 1988","9.083","9.083","9.083","9.083","0.00%"
"Dec 20, 1988","9.083","9.083","9.083","9.083","-0.85%"
"Dec 19, 1988","9.161","9.161","9.161","9.161","-0.25%"
"Dec 16, 1988","9.184","9.184","9.184","9.184","-0.34%"
"Dec 15, 1988","9.215","9.215","9.215","9.215","0.25%"
"Dec 14, 1988","9.192","9.192","9.192","9.192","0.51%"
"Dec 13, 1988","9.145","9.145","9.145","9.145","0.76%"
"Dec 12, 1988","9.076","9.076","9.076","9.076","0.18%"
"Dec 09, 1988","9.060","9.060","9.060","9.060","0.68%"
"Dec 08, 1988","8.999","8.999","8.999","8.999","0.68%"
"Dec 07, 1988","8.938","8.938","8.938","8.938","0.61%"
"Dec 06, 1988","8.884","8.884","8.884","8.884","-2.03%"
"Dec 05, 1988","9.068","9.068","9.068","9.068","-0.59%"
"Dec 02, 1988","9.122","9.122","9.122","9.122","2.59%"
"Dec 01, 1988","8.892","8.892","8.892","8.892","-0.26%"
"Nov 30, 1988","8.915","8.915","8.915","8.915","-1.36%"
"Nov 29, 1988","9.038","9.038","9.038","9.038","-0.59%"
"Nov 28, 1988","9.092","9.092","9.092","9.092","0.09%"
"Nov 25, 1988","9.084","9.084","9.084","9.084","1.24%"
"Nov 23, 1988","8.973","8.973","8.973","8.973","0.10%"
"Nov 22, 1988","8.964","8.964","8.964","8.964","0.71%"
"Nov 21, 1988","8.901","8.901","8.901","8.901","0.09%"
"Nov 18, 1988","8.893","8.893","8.893","8.893","0.17%"
"Nov 17, 1988","8.878","8.878","8.878","8.878","0.27%"
"Nov 16, 1988","8.854","8.854","8.854","8.854","1.06%"
"Nov 15, 1988","8.761","8.761","8.761","8.761","0.45%"
"Nov 14, 1988","8.722","8.722","8.722","8.722","0.26%"
"Nov 10, 1988","8.699","8.699","8.699","8.699","0.08%"
"Nov 09, 1988","8.692","8.692","8.692","8.692","0.45%"
"Nov 08, 1988","8.653","8.653","8.653","8.653","0.00%"
"Nov 07, 1988","8.653","8.653","8.653","8.653","0.80%"
"Nov 04, 1988","8.584","8.584","8.584","8.584","2.18%"
"Nov 03, 1988","8.401","8.401","8.401","8.401","-0.27%"
"Nov 02, 1988","8.424","8.424","8.424","8.424","0.63%"
"Nov 01, 1988","8.371","8.371","8.371","8.371","0.08%"
"Oct 31, 1988","8.364","8.364","8.364","8.364","-0.27%"
"Oct 28, 1988","8.387","8.387","8.387","8.387","-0.19%"
